,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1,Xc2.lambda2,Xc2.lambda3,Xc2.lambda4,Xc2.lambda5,Xc2.lambda6,Xc2.lambda7
0,51.422217336567975,22.854318816252434,71.10232520611868,43.16926887514348,35.55116260305934,33.01179384569796,26.663371952294504,59.040323608652116,10.79231721878587,47.6131642005259,80.62495804622385,34.281478224378645,13.331685976147252,43.80411106448383,34.91632041371899,71.73716739545902,64.11906112337488,9.52263284010518,46.978322011185554,64.75390331271522,0.052652848063415005,0.05248136086191635,0.05259015915117795,0.052770417036198794,0.05056860782649057,0.05206428518167775,0.05203013253877836
1,52.413047221665934,22.733369879276793,72.62048711435642,42.940809771967274,34.10005481891519,32.205607328975454,27.153747355802835,56.83342469819198,9.472237449698664,47.99266974513989,80.19827707411535,36.625984805501496,13.26113242957813,44.83525726190701,35.36301981220834,68.20010963783038,58.096389691485136,8.840754953052086,49.25563473843305,63.148249664657754,0.05303370622887849,0.05299460160956216,0.05308320965732499,0.053752653723954796,0.05082954305471713,0.05236612351158241,0.05245766556740237
2,53.01122117527464,23.350180755775735,70.68162823369953,42.28275974694525,34.07864218410513,32.81647025136049,26.50561058763732,58.059908906253185,9.466289495584757,48.593619410668424,80.14791772928429,37.86515798233903,13.883891260190978,44.80710361243452,35.97190008322208,69.41945630095489,59.32208083899781,8.835203529212441,48.593619410668424,61.846424704487085,0.05324165691952069,0.05364314800134607,0.05288020820273505,0.053517586321082264,0.05174636240332248,0.05186640642434448,0.052018665355331783
3,47.48692144683821,25.32635810498038,57.61746468883037,29.125311820727436,24.69319915235587,28.492152868102927,24.06004019973136,48.12008039946272,8.864225336743132,46.22060354158919,64.58221316769998,24.69319915235587,9.497384289367643,37.98953715747057,23.426881247106852,68.38116688344702,57.61746468883037,6.964748478869605,33.557424489099006,74.0795974570676,0.054260543813804754,0.054188368444113996,0.04980777502094422,0.05254682019522066,0.05209800947811733,0.05354657535958435,0.05039295506370526
4,46.28278698775466,24.726420445512762,57.69498103952978,29.79850669074615,24.726420445512762,28.530485129437803,24.09240966485859,47.55080854906301,9.510161709812602,46.916797768408834,64.03508884607152,25.360431226166938,8.876150929158428,37.406636058596234,23.458398884204417,69.1071750913049,58.32899182018395,6.974118587195908,33.60257137467119,74.81327211719247,0.05408157165554638,0.05405879712799081,0.049617460721107336,0.05222481679894134,0.05170091437357467,0.053608606037543007,0.050697052631123056
5,55.567206623796935,27.783603311898467,48.621305795822316,41.6754049678477,26.52071225226672,44.83263261692707,29.046494371530216,58.09298874306043,13.26035612613336,46.7269692063747,75.7734635779049,32.20372202060959,13.26035612613336,44.83263261692707,39.1496228485842,84.61370099532715,58.09298874306043,6.314455298158743,47.989860266006445,59.98732533250806,0.0543267585879044,0.05544084485723436,0.050010630319795246,0.051904230151764014,0.05335183290515902,0.05254667604361485,0.05097349731865395
6,55.440434542601785,28.980227147269115,48.51038022477656,41.58032590695134,26.46020739533267,44.10034565888778,28.980227147269115,57.96045429453823,12.600098759682224,45.990360472840116,75.60059255809334,32.13025183718967,13.230103697666335,44.730350596871894,39.06030615501489,84.4206616898709,57.96045429453823,6.300049379841112,47.88037528679245,60.480474046474676,0.05448443500711467,0.05583091203779029,0.04998070310611586,0.05202370961544812,0.053676939356266655,0.052824313697827356,0.05117404919532592
7,55.440434542601785,28.980227147269115,48.51038022477656,41.58032590695134,26.46020739533267,44.10034565888778,28.980227147269115,57.96045429453823,12.600098759682224,45.990360472840116,75.60059255809334,32.13025183718967,13.230103697666335,44.730350596871894,39.06030615501489,84.4206616898709,57.96045429453823,6.300049379841112,47.88037528679245,60.480474046474676,0.05448443500711467,0.05583091203779029,0.04998070310611586,0.05202370961544812,0.053676939356266655,0.052824313697827356,0.05117404919532592
8,54.85985715508337,28.37578818366381,47.923553376854436,41.61782266937359,26.484068971419557,44.14011495236593,29.006361254411893,58.012722508823785,13.242034485709778,46.03183416461018,75.66876848977016,32.159226608152316,13.242034485709778,45.4012610938621,39.09553038638125,85.75793762173952,58.012722508823785,6.305730707480847,47.923553376854436,59.90444172106804,0.05437872155173103,0.0556640516147953,0.05005761631879457,0.05195308263492172,0.05353644498195927,0.05270855854796799,0.0511284536017454
9,49.325612715590026,25.623694917189624,73.02753051399043,35.873172884065475,28.826656781838327,37.15435762992496,18.57717881496248,52.52857458023873,14.093032204454294,50.60679746144951,85.83937797258524,27.545472035978847,7.687108475156887,49.325612715590026,29.46724915476807,82.63641610793654,67.26219915762276,8.327700848086629,44.84146610508184,80.07404661621759,0.05359468452592572,0.051975786735411776,0.049098042415309816,0.051004455519129,0.05100765751047091,0.051942001045119764,0.050784999318892354
